id,shop_id,search_term_id,product_name,price,monthly_sales,monthly_revenue,growth_rate,total_sales,reviews,listing_age_months,category,subcategory,manufacturing_method,complexity,estimated_cogs,estimated_margin,production_time_minutes,created_at
36,32,13,Personalized Marble Wood Cutting Board with Coaster,57.42,263,15101.0,44,2269,414,14,Kitchen Products,cutting_boards,,,,,,2026-01-02 14:38:16
37,33,14,Nursery Name Sign | Nursery Decor | Wooden Name Cutout,121.61,250,30403.0,13,18124,3935,100,Home Decor,wall_art,,,,,,2026-01-02 14:38:16
38,34,14,Custom Wooden Growth Chart for Kids - Personalized Height Measuring Stick,159.97,101,19173.0,75,1519,222,21,Home Decor,wall_art,,,,,,2026-01-02 14:38:16
39,35,14,"Custom Photo on Wood, Engraved Photo on Wood with Watercolor Style",56.95,321,18281.0,78,30416,8323,53,Home Decor,wall_art,,,,,,2026-01-02 14:38:16
40,36,15,Custom Lake Depth Map,99.0,238,82281.0,500,3866,1020,40,wall_art,,,,,,,2026-01-02 14:38:16
41,37,15,Wood World Map Large Wall Art,354.97,63,42626.0,700,606,136,15,wall_art,,,,,,,2026-01-02 14:38:16
42,38,15,Wooden World Map,166.33,164,115207.0,160,5482,816,67,wall_art,,,,,,,2026-01-02 14:38:16
43,39,16,Custom Wood Sign | Personalized Family Name Sign,130.0,375,48750.0,250,53357,12578,58,wall_decor,,,,,,,2026-01-02 14:38:16
44,40,16,Custom business logo sign,139.8,316,44177.0,8,2290,452,9,wall_decor,,,,,,,2026-01-02 14:38:16
45,41,16,Custom Wood American Flag,200.0,60,13700.0,400,463,92,14,wall_decor,,,,,,,2026-01-02 14:38:16
46,42,17,Personalized 8 Slot Wooden Watch Box,349.99,43,16920.0,200,81,10,2,storage_organization,,,,,,,2026-01-02 14:38:16
47,42,17,Everyday Carry Watch Box Organizer,239.0,35,8505.0,100,843,160,28,storage_organization,,,,,,,2026-01-02 14:38:16
48,43,17,Wide Wood Watch Box,475.0,10,4750.0,100,337,84,25,storage_organization,,,,,,,2026-01-02 14:38:16
49,44,17,Wooden Watch Display Case,1399.0,3,4197.0,0,13,4,62,storage_organization,,,,,,,2026-01-02 14:38:16
50,42,18,Monogrammed Charcuterie Board Set,179.9,65,13774.0,800,342,59,39,kitchen_dining,,,,,,,2026-01-02 14:38:16
51,45,18,Large Wild Olive Wood Board,181.82,42,7636.0,300,471,154,26,kitchen_dining,,,,,,,2026-01-02 14:38:16
52,46,18,Personalized Live Edge Charcuterie Board,60.31,215,29236.0,150,1446,260,11,kitchen_dining,,,,,,,2026-01-02 14:38:16
53,47,19,Personalized Wood Desk Organizer,57.49,1674,96238.0,181,8959,1269,14,office_organization,,,,,,,2026-01-02 14:38:16
54,42,19,Dual wooden watch stand valet tray,79.99,99,7639.0,500,231,15,2,office_organization,,,,,,,2026-01-02 14:38:16
55,42,19,Wooden Valet Tray with Drawer,299.0,11,3729.0,100,372,78,28,office_organization,,,,,,,2026-01-02 14:38:16
56,23,10,"Personalized Serving Board for Couple, Marble Wood Cheese Board",129.18,1158,149590.0,92,2922,574,11,cnc_laser_products,custom_engraved,,,,,,2026-01-02 14:38:16
57,15,6,"Custom Epoxy Table, Rustic Dining Table",2750.0,19,52250.0,0,19,3,2,resin_wood_combinations,epoxy_tables,,,,,,2026-01-02 14:38:16
58,48,20,Handmade live edge bathroom vanity modern wood vanity cabinet,4088.0,11,44968.0,0,9,1,4,branch,bathroom_organizers,,,,,,2026-01-02 14:38:16
59,30,13,"Personalized Glass Charcuterie Board, Epoxy River Resin Cutting Board",79.99,398,40236.0,69,2489,417,12,kitchen_products,cutting_boards,,,,,,2026-01-02 14:38:16
60,24,10,Personalized serving board for couple or family gift,57.5,617,35478.0,62,1745,377,11,cnc_laser_products,custom_engraved,,,,,,2026-01-02 14:38:16
61,33,14,Nursery Name Sign | Nursery Decor | Wooden Name Cutout,121.61,250,30403.0,13,18124,3935,100,home_decor,wall_art,,,,,,2026-01-02 14:38:16
62,18,7,ANIME Night Lamp Epoxy lamp handmade from wood and resin,137.25,199,27313.0,67,984,201,21,resin_wood_combinations,resin_lamps,,,,,,2026-01-02 14:38:16
63,16,6,"Custom Ocean Epoxy Resin Table, Live Edge Wood Dining Table",1488.0,18,26784.0,0,26,6,5,resin_wood_combinations,epoxy_tables,,,,,,2026-01-02 14:38:16
64,17,6,Round Live Edge Resin Coffee Table Walnut Side Table,158.66,148,23482.0,75,548,157,20,resin_wood_combinations,epoxy_tables,,,,,,2026-01-02 14:38:16
65,17,7,Hollow Knight Resin Lamp: Anime Night Light,158.66,148,23482.0,75,548,157,20,resin_wood_combinations,resin_lamps,,,,,,2026-01-02 14:38:16
66,25,10,Custom Engraved Wooden Jewelry Box with Drawers,134.58,168,22609.0,30,2580,341,25,cnc_laser_products,custom_engraved,,,,,,2026-01-02 14:38:16
67,31,13,"Personalized Serving Board for Couple, Marble Wood Cheese Board",59.95,117,22571.0,25,2406,499,17,kitchen_products,cutting_boards,,,,,,2026-01-02 14:38:16
68,34,14,Custom Wooden Growth Chart for Kids - Personalized Height Measuring Stick,159.97,101,19173.0,75,1519,222,21,home_decor,wall_art,,,,,,2026-01-02 14:38:16
69,19,7,TOTK Resin Wood Night Light Christmas Gift for Game fans,96.32,192,18493.0,57,1820,379,18,resin_wood_combinations,resin_lamps,,,,,,2026-01-02 14:38:16
70,35,14,"Custom Photo on Wood, Engraved Photo on Wood with Watercolor Style",56.95,321,18281.0,78,30416,8323,53,home_decor,wall_art,,,,,,2026-01-02 14:38:16
71,42,21,Personalized 8 Slot Wooden Watch Box Acrylic Lid Detachable Stands,349.99,43,16920.0,200,81,10,2,branch,watch_boxes,,,,,,2026-01-02 14:38:16
72,32,13,Personalized Marble Wood Cutting Board with Coaster,57.42,263,15101.0,44,2269,414,14,kitchen_products,cutting_boards,,,,,,2026-01-02 14:38:16
73,26,11,Personalized Gaming Controller and Headphone Stand,61.99,227,14072.0,500,1861,277,13,gaming_accessories,controller_stands,,,,,,2026-01-02 14:38:16
74,49,20,"Handmade Walnut Wood Framed Mirror, Asymmetric Organic Mirror",209.0,18,11091.0,0,305,65,16,branch,bathroom_organizers,,,,,,2026-01-02 14:38:16
75,4,2,Workbench Toolbox Pen Holder – Tool Box Organizer for Desk,29.99,316,9477.0,350,1784,307,9,3d_printing,desk_accessories,,,,,,2026-01-02 14:38:16
76,43,21,Wide Wood Watch Box (D5) - Custom Walnut 5 Slot Display Case,230.0,40,9200.0,0,47,12,18,branch,watch_boxes,,,,,,2026-01-02 14:38:16
77,5,2,Millennium Falcon Wireless Mouse: Star Wars Desk Mac/PC,62.77,128,8167.0,0,237,44,10,3d_printing,desk_accessories,,,,,,2026-01-02 14:38:16
78,27,11,Personalized PS5 and Xbox Controller and Headphone Stand,94.03,70,7797.0,300,215,48,6,gaming_accessories,controller_stands,,,,,,2026-01-02 14:38:16
79,50,20,"Solid wood oak coat hooks, Wall coat rack with shelf entryway",135.0,57,7695.0,0,1561,287,50,branch,bathroom_organizers,,,,,,2026-01-02 14:38:16
80,28,11,Controller & Headphone Stand: Christmas Gifts For Him,99.9,77,7692.0,150,186,42,26,gaming_accessories,controller_stands,,,,,,2026-01-02 14:38:16
81,42,21,Solid Wood Watch Box for Men with 10 Compartments and Cushions,159.0,35,6345.0,50,416,81,31,branch,watch_boxes,,,,,,2026-01-02 14:38:16
82,51,22,Heavy Duty Desk with Keyboard Tray For Studio Musician Gaming Piano,499.0,12,5988.0,200,150,35,23,branch,gaming_keyboard_stands,,,,,,2026-01-02 14:38:16
83,52,23,Minimalist Pet Urn | Memorial Box | Walnut Wood,119.0,42,4998.0,100,340,65,10,branch,pet_memorial_urns,,,,,,2026-01-02 14:38:16
84,6,2,RANDOM Packs of Detailed Pocket Pets | 0.8-1.5in | 3D Printed Mini Fidget Animals,8.75,518,4533.0,50,8211,1671,18,3d_printing,desk_accessories,,,,,,2026-01-02 14:38:16
85,53,24,SET OF TWO Floating Wood Shelves – Premium Rustic Shelving,48.0,93,4464.0,83,1423,440,25,branch,floating_shelves,,,,,,2026-01-02 14:38:16
86,51,22,Heavy Duty Desk with Keyboard Tray For Studio Musician Gaming Piano,499.0,12,5988.0,200,150,35,23,,,Wood,Medium,,,,2026-01-02 14:38:16
87,26,43,Personalized Gaming Controller and Headphone Stand,61.99,227,14072.0,500,1861,277,13,,,Wood,Medium,,,,2026-01-02 14:38:16
88,23,44,"Personalized Serving Board for Couple, Marble Wood Cheese Board",129.18,1158,149590.0,92,2922,574,11,,,CNC/Laser,Medium,,,,2026-01-02 14:38:16
89,42,21,Personalized 8 Slot Wooden Watch Box Acrylic Lid Detachable Stands,349.99,43,16920.0,200,81,10,2,,,Wood,Medium,,,,2026-01-02 14:38:16
90,24,44,Personalized serving board for couple or family gift,57.5,617,35478.0,62,1745,377,11,,,CNC/Laser,Medium,,,,2026-01-02 14:38:16
91,33,45,Nursery Name Sign | Nursery Decor | Wooden Name Cutout,121.61,250,30403.0,13,18124,3935,100,,,Wood,Medium,,,,2026-01-02 14:38:16
92,48,20,Handmade live edge bathroom vanity modern wood vanity cabinet,4088.0,11,44968.0,0,9,1,4,,,Wood,Medium,,,,2026-01-02 14:38:16
93,17,46,Round Live Edge Resin Coffee Table Walnut Side Table,158.66,148,23482.0,75,548,157,20,,,Resin/Epoxy,Medium,,,,2026-01-02 14:38:16
94,18,47,ANIME Night Lamp Epoxy lamp handmade from wood and resin,137.25,199,27313.0,67,984,201,21,,,Resin/Epoxy,Medium,,,,2026-01-02 14:38:16
95,17,47,Hollow Knight Resin Lamp: Anime Night Light,158.66,148,23482.0,75,548,157,20,,,Resin/Epoxy,Medium,,,,2026-01-02 14:38:16
96,15,46,"Custom Epoxy Table, Rustic Dining Table",2750.0,19,52250.0,0,19,3,2,,,Resin/Epoxy,Medium,,,,2026-01-02 14:38:16
97,7,48,Christmas Gift Custom Wood Cable Management Box,63.0,60,3780.0,400,221,33,7,,,Wood,Medium,,,,2026-01-02 14:38:16
98,30,49,"Personalized Glass Charcuterie Board, Epoxy River Resin Cutting Board",79.99,398,40236.0,69,2489,417,12,,,Wood,Medium,,,,2026-01-02 14:38:16
99,54,50,Personalized Walnut Wood Valet Tray: Anniversary Gift for Him,30.0,76,3320.0,300,1393,270,55,,,Wood,Medium,,,,2026-01-02 14:38:16
100,25,44,Custom Engraved Wooden Jewelry Box with Drawers,134.58,168,22609.0,30,2580,341,25,,,CNC/Laser,Medium,,,,2026-01-02 14:38:16
101,27,43,Personalized PS5 and Xbox Controller and Headphone Stand,94.03,70,7797.0,300,215,48,6,,,Wood,Medium,,,,2026-01-02 14:38:16
102,55,51,Hardwood MagSafe Charging Stand: Solid Walnut or Oak iPhone Dock,102.89,12,1235.0,100,370,101,40,,,Wood + Electronics,Medium,,,,2026-01-02 14:38:16
103,56,51,3-in-1 Mag-Safe Wireless Charger: Black Walnut Wood & Aluminum,89.0,11,979.0,200,42,8,6,,,Wood + Electronics,Medium,,,,2026-01-02 14:38:16
104,57,52,Custom drawer organizer for spices configured to fit your drawer,85.0,18,1530.0,200,181,39,35,,,Wood,Medium,,,,2026-01-02 14:38:16
105,43,21,Wide Wood Watch Box (D5) - Custom Walnut 5 Slot Display Case,230.0,40,9200.0,0,47,12,18,,,Wood,Medium,,,,2026-01-02 14:38:16
106,49,20,"Handmade Walnut Wood Framed Mirror, Asymmetric Organic Mirror",209.0,18,11091.0,0,305,65,16,,,Wood,Medium,,,,2026-01-02 14:38:16
107,34,45,Custom Wooden Growth Chart for Kids - Personalized Height Measuring Stick,159.97,101,19173.0,75,1519,222,21,,,Wood,Medium,,,,2026-01-02 14:38:16
108,42,50,Engraved Wood Watch Box Personalized Men's Valet Tray Acacia 5 Watch Organizer,149.99,18,2720.0,100,113,16,38,,,Wood,Medium,,,,2026-01-02 14:38:16
109,16,46,"Custom Ocean Epoxy Resin Table, Live Edge Wood Dining Table",1488.0,18,26784.0,0,26,6,5,,,Resin/Epoxy,Medium,,,,2026-01-02 14:38:16
110,58,53,Handmade Teak Wooden Dish Drying Rack: Over Sink Organizer,438.08,6,2628.0,100,6,3,4,,,Wood,Medium,,,,2026-01-02 14:38:16
111,31,49,"Personalized Serving Board for Couple, Marble Wood Cheese Board",59.95,117,22571.0,25,2406,499,17,,,Wood,Medium,,,,2026-01-02 14:38:16
112,59,54,Side-by-Side Floor Display – Modular Wood Pegboard Rack with Shelves & Pegs,540.0,1,540.0,0,2,1,7,,,Wood,Medium,,,,2026-01-02 14:38:16
113,35,45,"Custom Photo on Wood, Engraved Photo on Wood with Watercolor Style",56.95,321,18281.0,78,30416,8323,53,,,Wood,Medium,,,,2026-01-02 14:38:16
114,60,55,Handmade Wooden Hanging Bird Feeder for Garden – Personalized Memorial Gift,62.29,20,1246.0,100,142,21,8,,,Wood,Medium,,,,2026-01-02 14:38:16
115,61,55,"Birdhouse, Rustic Birdhouse, Fairy Cottage Birdhouse",25.0,39,975.0,200,888,241,22,,,Wood,Medium,,,,2026-01-02 14:38:16
116,42,21,Solid Wood Watch Box for Men with 10 Compartments and Cushions,159.0,35,6345.0,50,416,81,31,,,Wood,Medium,,,,2026-01-02 14:38:16
117,7,56,Christmas Gift Custom Wood Cable Management Box,63.0,60,3780.0,400,221,33,7,,,3D Printed,Medium,,,,2026-01-02 14:38:16
118,4,57,Workbench Toolbox Pen Holder – Tool Box Organizer for Desk,29.99,316,9477.0,350,1784,307,9,,,3D Printed,Medium,,,,2026-01-02 14:38:16
119,62,52,Custom Maple Spice Drawer Organizer| Modular Kitchen Spice Rack Insert Trays,28.56,70,1999.0,100,3132,666,77,,,Wood,Medium,,,,2026-01-02 14:38:16
120,8,48,Wood Cable Management Box | Cable Organizer Box,120.0,22,2640.0,100,23,9,3,,,Wood,Medium,,,,2026-01-02 14:38:16
121,63,53,Olive Wood Utensil Set with Holder: 5 Handmade Essential Utensils,108.55,28,3274.0,100,700,177,72,,,Wood,Medium,,,,2026-01-02 14:38:16
122,64,51,"MagSafe Phone Stand, Wood iPhone Charging Dock",89.0,13,1157.0,100,117,49,19,,,Wood + Electronics,Medium,,,,2026-01-02 14:38:16
123,65,58,Handmade Reclaimed Wood Standing Desk: Industrial Hairpin Legs,398.25,5,1991.0,100,9,2,30,,,Wood,Medium,,,,2026-01-02 14:38:16
124,66,59,Wooden Wireless Induction Charger. Qi Charging Station Pad 15 W,54.74,9,493.0,100,37,7,39,,,Wood + Electronics,Medium,,,,2026-01-02 14:38:16
125,32,49,Personalized Marble Wood Cutting Board with Coaster,57.42,263,15101.0,44,2269,414,14,,,Wood,Medium,,,,2026-01-02 14:38:16
126,19,47,TOTK Resin Wood Night Light Christmas Gift for Game fans,96.32,192,18493.0,57,1820,379,18,,,Resin/Epoxy,Medium,,,,2026-01-02 14:38:16
127,50,20,"Solid wood oak coat hooks, Wall coat rack with shelf entryway",135.0,57,7695.0,0,1561,287,50,,,Wood,Medium,,,,2026-01-02 14:38:16
128,67,54,Handmade Walnut Pegboard Shelf / Hanging Organizer / Wooden Floating Shelf,160.0,6,960.0,0,18,4,20,,,Wood,Medium,,,,2026-01-02 14:38:16
129,68,58,Custom Solid Wood Desk Shelf Monitor Stand with drawer storage,642.38,6,3854.0,0,4,1,18,,,Wood,Medium,,,,2026-01-02 14:38:16
130,28,43,Controller & Headphone Stand: Christmas Gifts For Him,99.9,77,7692.0,150,186,42,26,,,Wood,Medium,,,,2026-01-02 14:38:16
131,52,23,Minimalist Pet Urn | Memorial Box | Walnut Wood,119.0,42,4998.0,100,340,65,10,,,Wood,Medium,,,,2026-01-02 14:38:16
132,29,48,"Hardwood Cable Hiding Shelf: AV Box, Cord Management",197.95,7,1386.0,100,86,47,22,,,Wood,Medium,,,,2026-01-02 14:38:16
133,69,60,Mountain Landscape Desk Mat: Rustic Nature-Inspired Mouse Pad,34.0,4,136.0,100,19,8,11,,,Wood,Medium,,,,2026-01-02 14:38:16
134,70,50,Custom Engraved Leather and Wood Desk Tray Organizer,18.67,102,1904.0,50,266,43,9,,,Wood,Medium,,,,2026-01-02 14:38:16
135,20,61,Custom CNC Carved Wood Sign: Unpainted Letter,39.0,62,2418.0,75,3676,830,54,,,CNC/Laser,Medium,,,,2026-01-02 14:38:16
136,8,56,Wood Cable Management Box | Cable Organizer Box,120.0,22,2640.0,100,23,9,3,,,3D Printed,Medium,,,,2026-01-02 14:38:16
137,22,61,"Rustic American Flag, Wooden American Flag",110.0,7,770.0,0,1395,386,69,,,CNC/Laser,Medium,,,,2026-01-02 14:38:16
138,71,62,Handmade Custom Heavy Duty Rectangular Raised Indoor/Outdoor Cedar Wood Garden Planter Box,149.0,6,894.0,0,93,17,110,,,Wood,Medium,,,,2026-01-02 14:38:16
139,72,59,Personalized Wood Wireless Charger Qi Tech gifts for men,95.0,5,475.0,0,17,4,56,,,Wood + Electronics,Medium,,,,2026-01-02 14:38:16
140,73,63,Wood Grain Soap Dispenser Set: Modern Bathroom Vanity,77.12,6,463.0,0,4,1,2,,,Wood,Medium,,,,2026-01-02 14:38:16
141,74,55,"Wood Birdhouse, Bird House, Decorative Birdhouse",34.0,30,1020.0,50,908,235,72,,,Wood,Medium,,,,2026-01-02 14:38:16
142,75,58,Walnut Monitor Stand: Solid Wood Desk Shelf with Steel Legs,199.99,16,3200.0,0,844,234,27,,,Wood,Medium,,,,2026-01-02 14:38:16
143,76,53,"Custom Wooden Utensil Holder, Personalized Rotating Kitchen Utensil Container",17.0,106,1802.0,67,837,167,14,,,Wood,Medium,,,,2026-01-02 14:38:16
144,77,23,"Custom Pet Urns - 3 Sizes Available, Wooden Personalized Pet Urns",45.99,65,2989.0,100,227,61,5,,,Wood,Medium,,,,2026-01-02 14:38:16
145,78,63,Diatomaceous Earth Bottle Tray - Farmhouse Kitchen Soap Dispenser Tray,32.91,5,165.0,0,9,2,6,,,Wood,Medium,,,,2026-01-02 14:38:16
146,79,23,"Simple Personalized Pet Urn, Memorial Box",19.95,138,2753.0,33,4479,1143,38,,,Wood,Medium,,,,2026-01-02 14:38:16
147,80,62,DIY Furniture Woodworking Plans for Beginners: 40 Outdoor-Indoor Projects,49.99,15,750.0,50,1195,114,28,,,Wood,Medium,,,,2026-01-02 14:38:16
148,9,64,Teal Blue Resin River Wood Drink Coasters Set of 4,87.0,13,1131.0,100,22,3,3,,,Resin/Epoxy,Medium,,,,2026-01-02 14:38:16
149,5,57,Millennium Falcon Wireless Mouse: Star Wars Desk Mac/PC,62.77,128,8167.0,0,237,44,10,,,3D Printed,Medium,,,,2026-01-02 14:38:16
150,81,62,Pick 6 Herb Garden - Window Seed Starter Kit -Cedar Wood Indoor Outdoor Planter Box,47.95,21,1007.0,0,1660,261,52,,,Wood,Medium,,,,2026-01-02 14:38:16
151,20,65,CUSTOM CNC carved Natural Pine unpainted Letter routed wood sign,39.0,62,2418.0,75,3676,830,54,,,CNC/Laser,Medium,,,,2026-01-02 14:38:16
152,53,24,SET OF TWO Floating Wood Shelves – Premium Rustic Shelving,48.0,93,4464.0,83,1423,440,25,,,Wood,Medium,,,,2026-01-02 14:38:16
153,6,57,RANDOM Packs of Detailed Pocket Pets | 0.8-1.5in | 3D Printed Mini Fidget Animals,8.75,518,4533.0,50,8211,1671,18,,,3D Printed,Medium,,,,2026-01-02 14:38:16
154,11,64,"Handcrafted Walnut Wood River Coasters: Live Edge Epoxy Resin, Set of 4",114.83,8,919.0,0,45,11,6,,,Resin/Epoxy,Medium,,,,2026-01-02 14:38:16
155,13,66,"Dried Pressed Flowers and Leaves for Resin, Jewelry DIY",3.78,217,820.0,83,22061,3457,51,,,Resin/Epoxy,Medium,,,,2026-01-02 14:38:16
156,1,67,"Retro iPhone Case: Mainframe UNU, 3D Printed, MagSafe Compatible",55.0,22,1210.0,100,47,8,8,,,3D Printed,Medium,,,,2026-01-02 14:38:16
157,2,67,Personalized Phone Stand Charging Station Desk Organizer,28.5,41,1169.0,200,106,36,4,,,3D Printed,Medium,,,,2026-01-02 14:38:16
158,14,66,Handmade Resin Flower Coaster with Real Pressed Flowers & Gold Foil,18.7,36,673.0,200,169,61,16,,,Resin/Epoxy,Medium,,,,2026-01-02 14:38:16
159,12,66,Pick Any Letter | Hanging Beach Resin Art,100.0,22,2200.0,50,747,240,36,,,Resin/Epoxy,Medium,,,,2026-01-02 14:38:16
160,21,65,Custom CNC Carved Wood Sign: Personalized Text,77.9,14,1913.0,0,335,66,32,,,CNC/Laser,Medium,,,,2026-01-02 14:38:16
161,10,64,Resin Coaster Set with Holder Drink Coasters Round Coasters,39.99,24,960.0,0,31,8,5,,,Resin/Epoxy,Medium,,,,2026-01-02 14:38:16
162,3,67,Stickman Phone Tablet Stand – 3D Printed Desk Accessory,8.08,96,776.0,75,174,39,11,,,3D Printed,Medium,,,,2026-01-02 14:38:16
163,51,22,Heavy Duty Desk with Keyboard Tray For Studio Musician Gaming Piano,499.0,12,5988.0,200,150,35,23,,,Wood,Medium,,,,2026-01-02 14:38:16
164,26,43,Personalized Gaming Controller and Headphone Stand,61.99,227,14072.0,500,1861,277,13,,,Wood,Medium,,,,2026-01-02 14:38:16
165,23,44,"Personalized Serving Board for Couple, Marble Wood Cheese Board",129.18,1158,149590.0,92,2922,574,11,,,CNC/Laser,Medium,,,,2026-01-02 14:38:16
166,42,21,Personalized 8 Slot Wooden Watch Box Acrylic Lid Detachable Stands,349.99,43,16920.0,200,81,10,2,,,Wood,Medium,,,,2026-01-02 14:38:16
